12.114,69.885
12.544,74.571
14.307,84.14
16.121,38.806
17.455,91.932
27.918,119.374
28.827,116.47
30.708,112.128
32.778,52.41
33.698,48.069
34.051,63.228
36.635,71.1
37.499,78.182
36.892,114.97
42.528,29.165
43.254,119.154
46.533,102.237
47.967,114.376
52.848,92.804
54.834,117.586
55.957,109.571
57.452,40.26
57.867,43.962
59.839,49.702
59.925,114.191
61.227,72.346
61.519,94.263
61.923,58.002
63.824,24.553
63.394,91.887
65.999,111.015
66.987,21.551
68.785,85.961
68.586,115.573
69.5,119.472
73.864,112.4
80.126,75.236
79.596,109.662
81.356,114.759
85.0,113.357
86.111,41.55
86.026,47.4
85.872,48.52
86.082,52.858
86.116,56.162
86.423,65.206
86.467,66.544
85.937,73.343
86.733,105.575
87.901,111.664
87.799,94.427
90.219,66.959
92.173,102.121
94.522,99.954
96.12,23.882
97.648,62.105
100.585,92.55
103.395,85.184
104.6,57.739
104.95,17.907
108.22,54.058
108.944,77.493
113.152,72.193
117.154,65.726
120.638,58.717
122.351,44.984
121.869,52.965
122.645,42.554
123.344,84.712
124.228,82.027
